Sample_id,order_in_plate,typeofSamp,Run,Date_of_Collection,Month_of_Collection,Quarter_of_Collection,Year_of_Collection,Subnational_level0,Subnational_level1,Subnational_level2,Longitude,Latitude,Strata,sample_ampl_rate
ID00001,50,Samples,run1,11/4/20,2020-11,2020-Q4,2020,Region 1,Department 2,Municipality 2,-77.03116,3.8801,Municipality 2,0.805309734513274
ID00002,42,Samples,run1,11/6/20,2020-11,2020-Q4,2020,Region 1,Department 2,Municipality 2,-77.03116,3.8801,Municipality 2,0.991150442477876
ID00003,74,Samples,run1,11/6/20,2020-11,2020-Q4,2020,Region 1,Department 2,Municipality 2,-77.03116,3.8801,Municipality 2,0.929203539823009
ID00004,27,Samples,run1,11/6/20,2020-11,2020-Q4,2020,Region 1,Department 2,Municipality 2,-77.03116,3.8801,Municipality 2,0.991150442477876
ID00005,43,Samples,run1,11/7/20,2020-11,2020-Q4,2020,Region 1,Department 2,Municipality 2,-77.03116,3.8801,Municipality 2,0.991150442477876
ID00007,59,Samples,run1,11/10/20,2020-11,2020-Q4,2020,Region 1,Department 2,Municipality 2,-77.03116,3.8801,Municipality 2,0.955752212389381
ID00008,34,Samples,run1,11/9/20,2020-11,2020-Q4,2020,Region 1,Department 2,Municipality 2,-77.03116,3.8801,Municipality 2,0.920353982300885
ID00009,75,Samples,run1,11/10/20,2020-11,2020-Q4,2020,Region 1,Department 2,Municipality 2,-77.03116,3.8801,Municipality 2,0.991150442477876
ID00010,35,Samples,run1,11/14/20,2020-11,2020-Q4,2020,Region 1,Department 2,Municipality 2,-77.03116,3.8801,Municipality 2,0.991150442477876
ID00011,11,Samples,run1,11/14/20,2020-11,2020-Q4,2020,Region 1,Department 2,Municipality 2,-77.03116,3.8801,Municipality 2,0.929203539823009
ID00012,19,Samples,run1,11/19/20,2020-11,2020-Q4,2020,Region 1,Department 2,Municipality 2,-77.03116,3.8801,Municipality 2,1
ID00013,90,Samples,run1,11/30/20,2020-11,2020-Q4,2020,Region 1,Department 2,Municipality 2,-77.03116,3.8801,Municipality 2,0.991150442477876
ID00014,58,Samples,run1,12/3/20,2020-12,2020-Q4,2020,Region 1,Department 2,Municipality 2,-77.03116,3.8801,Municipality 2,0.982300884955752
